00-001;Świętokrzyska;Warszawa
00-001;Świętokrzyska;Warszawa
00-002;Świętokrzyska;Warszawa
00-003;Jasna;Warszawa
00-004;Marszałkowska;Warszawa
00-005;Rysia;Warszawa
00-006;Szkolna;Warszawa
00-007;Jasna;Warszawa
00-008;Marszałkowska;Warszawa
00-009;Moniuszki Stanisława;Warszawa
00-009;Pl. Młynarskiego Emila;Warszawa
00-010;Sienkiewicza Henryka;Warszawa
00-011;Boduena Gabriela Piotra;Warszawa
00-012;Zgoda;Warszawa
00-013;Jasna;Warszawa
00-014;Moniuszki Stanisława;Warszawa
00-015;Sienkiewicza Henryka;Warszawa
00-016;Marszałkowska;Warszawa
00-017;Marszałkowska;Warszawa
00-018;Zgoda;Warszawa
00-019;Złota;Warszawa
00-020;Szpitalna;Warszawa
00-020;Chmielna;Warszawa
00-021;Chmielna;Warszawa
00-022;Krucza;Warszawa
00-023;Widok;Warszawa
00-024;Aleje Jerozolimskie;Warszawa
00-025;Krucza;Warszawa
00-026;Marszałkowska;Warszawa
00-026;Widok;Warszawa
00-027;Pasaż Śródmiejski;Warszawa
00-028;Bracka;Warszawa
00-029;Nowy Świat;Warszawa
00-030;Pl. Powstańców Warszawy;Warszawa
00-031;Szpitalna;Warszawa
00-032;Przeskok;Warszawa
00-033;Górskiego Wojciecha;Warszawa
00-034;Warecka;Warszawa
00-035;Tuwima Juliana;Warszawa
00-036;Baczyńskiego Krzysztofa Kamila;Warszawa
00-037;Kubusia Puchatka;Warszawa
00-038;Moniuszki Stanisława;Warszawa
00-039;Pl. Powstańców Warszawy;Warszawa
00-040;Warecka;Warszawa
00-041;Jasna;Warszawa
00-042;Nowy Świat;Warszawa
00-043;Czackiego Tadeusza;Warszawa
00-044;Świętokrzyska;Warszawa
00-046;Nowy Świat;Warszawa
00-047;Krakowskie Przedmieście;Warszawa
